firstName,lastName,hireDate,seasons
Mike,Price,2003-12-21T00:00:00.000Z,"[{'school': 'UTEP', 'year': 2005, 'games': 12, 'wins': 8, 'losses': 4, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -6.5, 'spOverall': 2.4, 'spOffense': 31.1, 'spDefense': 28.7}]"
Mark,Richt,2000-12-26T00:00:00.000Z,"[{'school': 'Georgia', 'year': 2005, 'games': 13, 'wins': 10, 'losses': 3, 'ties': 0, 'preseasonRank': 13, 'postseasonRank': 10, 'srs': 16.1, 'spOverall': 22.3, 'spOffense': 36.1, 'spDefense': 13.8}]"
Mike,Riley,,"[{'school': 'Oregon State', 'year': 2005, 'games': 11, 'wins': 5, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -1, 'spOverall': 1.5, 'spOffense': 26.6, 'spDefense': 25.2}]"
Steve,Roberts,2001-12-21T00:00:00.000Z,"[{'school': 'Arkansas State', 'year': 2005, 'games': 12, 'wins': 6, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -20.2, 'spOverall': -15.6, 'spOffense': 18.5, 'spDefense': 34.1}]"
Greg,Robinson,2005-01-12T00:00:00.000Z,"[{'school': 'Syracuse', 'year': 2005, 'games': 11, 'wins': 1, 'losses': 10, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -9, 'spOverall': -10.7, 'spOffense': 12.6, 'spDefense': 23.4}]"
Rich,Rodriguez,2000-11-26T00:00:00.000Z,"[{'school': 'West Virginia', 'year': 2005, 'games': 12, 'wins': 11, 'losses': 1, 'ties': 0, 'preseasonRank': None, 'postseasonRank': 5, 'srs': 16.6, 'spOverall': 15.8, 'spOffense': 33.3, 'spDefense': 17.6}]"
Ted,Roof,2003-12-06T00:00:00.000Z,"[{'school': 'Duke', 'year': 2005, 'games': 11, 'wins': 1, 'losses': 10, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -16.9, 'spOverall': -20.2, 'spOffense': 14.7, 'spDefense': 35}]"
Bobby,Ross,2003-12-09T00:00:00.000Z,"[{'school': 'Army', 'year': 2005, 'games': 11, 'wins': 4, 'losses': 7, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -7.8, 'spOverall': -16.3, 'spOffense': 14.7, 'spDefense': 31}]"
Mike,Sanford Sr.,2004-12-06T00:00:00.000Z,"[{'school': 'UNLV', 'year': 2005, 'games': 11, 'wins': 2, 'losses': 9, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -18.3, 'spOverall': -15.3, 'spOffense': 19.8, 'spDefense': 35.1}]"
Chris,Scelfo,,"[{'school': 'Tulane', 'year': 2005, 'games': 11, 'wins': 2, 'losses': 9, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -18.5, 'spOverall': -17.1, 'spOffense': 14.8, 'spDefense': 31.9}]"
Greg,Schiano,,"[{'school': 'Rutgers', 'year': 2005, 'games': 12, 'wins': 7, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 1.6, 'spOverall': 4, 'spOffense': 29.5, 'spDefense': 25.5}]"
